Status_Evento,Campeonato,Regiao,Periodo_Campeonato,Data_Partida,Mapa,Time,Vitorias,Derrotas,Aproveitamento,Mapas_Jogados,Jogador,Agente,Rating,ACS,Kills,Mortes,Assistencias,ADR
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Ascent,Cloud9,9,1,90.0%,10,OXY,Neon,0.99,211.0,14.8,13.7,8.6,156.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Ascent,Cloud9,9,1,90.0%,10,Zellsis,Killjoy,0.86,283.3,11.9,16.9,7.6,201.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Ascent,Cloud9,9,1,90.0%,10,penny,Viper,1.25,151.5,21.2,12.9,7.5,120.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Ascent,Cloud9,9,1,90.0%,10,v1c,Omen,1.34,143.7,14.5,11.3,5.3,180.3
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Ascent,Cloud9,9,1,90.0%,10,Xeppaa,Sova,1.01,187.0,13.0,17.8,9.6,161.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Ascent,Sentinels,6,6,50.0%,12,zekken,Jett,1.12,145.4,12.6,12.6,5.6,167.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Ascent,Sentinels,6,6,50.0%,12,johnqt,Cypher,0.79,224.1,23.9,9.8,8.5,121.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Ascent,Sentinels,6,6,50.0%,12,SACY,Fade,1.09,296.0,17.9,16.5,9.8,187.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Ascent,Sentinels,6,6,50.0%,12,TenZ,Omen,1.11,155.4,19.5,11.2,7.4,184.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Ascent,Sentinels,6,6,50.0%,12,Zellsis,KAY/O,1.38,236.4,13.5,12.0,2.4,198.3
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-30,Ascent,LOUD,0,0,0.0%,1,Less,Viper,1.3,151.5,16.6,17.6,5.7,149.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-30,Ascent,LOUD,0,0,0.0%,1,Saadhak,Breach,0.99,243.3,21.4,15.3,2.9,161.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-30,Ascent,LOUD,0,0,0.0%,1,cauanzin,Sova,1.04,201.1,9.4,16.4,5.2,91.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-30,Ascent,LOUD,0,0,0.0%,1,tuyz,Omen,1.02,209.3,19.0,17.3,7.6,146.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-30,Ascent,LOUD,0,0,0.0%,1,qck,Jett,1.41,184.3,19.0,16.4,8.3,118.6
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Ascent,NRG,1,10,9.1%,11,Crashies,Sova,1.34,138.7,22.3,16.4,7.8,126.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Ascent,NRG,1,10,9.1%,11,victor,Raze,1.22,192.3,13.9,9.5,4.4,106.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Ascent,NRG,1,10,9.1%,11,ETHAN,Breach,0.78,253.7,14.4,16.3,4.1,141.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Ascent,NRG,1,10,9.1%,11,marved,Omen,1.33,251.9,23.2,12.3,4.1,143.6
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Ascent,NRG,1,10,9.1%,11,Fiend,Killjoy,1.13,207.5,14.3,16.2,8.8,122.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Bind,Cloud9,8,5,61.5%,13,OXY,Neon,1.32,125.6,21.0,9.7,9.3,175.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Bind,Cloud9,8,5,61.5%,13,Zellsis,Killjoy,1.13,200.9,21.2,17.4,2.3,165.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Bind,Cloud9,8,5,61.5%,13,penny,Viper,0.89,207.5,18.8,10.9,4.5,129.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Bind,Cloud9,8,5,61.5%,13,v1c,Omen,1.37,240.9,16.4,17.6,7.8,135.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Bind,Cloud9,8,5,61.5%,13,Xeppaa,Sova,0.87,243.4,15.2,10.0,8.0,122.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-29,Bind,Sentinels,4,4,50.0%,8,zekken,Jett,1.03,141.3,21.6,14.6,3.2,140.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-29,Bind,Sentinels,4,4,50.0%,8,johnqt,Cypher,1.25,136.3,20.1,15.9,2.4,143.3
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-29,Bind,Sentinels,4,4,50.0%,8,SACY,Fade,1.07,280.8,13.1,13.6,4.4,154.1
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-29,Bind,Sentinels,4,4,50.0%,8,TenZ,Omen,1.42,194.5,15.8,15.3,6.1,188.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-29,Bind,Sentinels,4,4,50.0%,8,Zellsis,KAY/O,1.42,224.0,17.8,16.9,2.6,158.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Bind,LOUD,5,9,35.7%,14,Less,Viper,0.79,232.0,13.4,14.0,8.3,89.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Bind,LOUD,5,9,35.7%,14,Saadhak,Breach,0.92,200.5,20.3,17.3,8.2,110.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Bind,LOUD,5,9,35.7%,14,cauanzin,Sova,1.36,166.9,21.6,13.9,8.9,167.6
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Bind,LOUD,5,9,35.7%,14,tuyz,Omen,0.76,167.4,17.6,12.2,7.7,144.6
